feature,importance
purchase_month,11.145744673547075
required_velocity,7.381227116502108
route_delay_rate,6.377445859967253
days_to_nearest_holiday,5.7565884486378005
lead_time_days_estimated,5.624630417853464
buffer_to_lead_ratio,5.30099069821521
seller_recent_delay_rate,4.660235174200756
seller_state_backlog,4.602008212535982
customer_state,4.121468355027879
distance_km,3.9165463232130087
customer_state_backlog,3.45234060407101
seller_avg_review_score,2.7416282439345303
route_risk_score,2.3768853385502777
seconds_since_last_seller_order,2.08192236122543
seller_stress_ratio,1.9391932861354553
total_weight_g,1.9370471957687172
seller_intensity_score,1.8937446865146907
dist_backlog_ratio,1.8876791745315873
avg_description_length,1.8652873992882988
freight_ratio,1.8261407852134721
avg_product_volume_cm3,1.8095243799595813
freight_per_gram,1.7160265728777864
seller_historical_delay_rate,1.6166230652144473
total_payment,1.4751739867518052
total_items,1.3819235287880094
total_freight,1.332271266434758
seller_shipping_buffer_days,1.3280845129291161
purchase_day_of_week,1.0855359421068793
avg_product_photos,1.0548531436050443
purchase_hour,0.842921945178051
max_installments,0.8285917456858413
primary_payment_type,0.7920532062471997
product_category,0.6552622506631337
total_price,0.6223611610934707
is_same_state,0.5498500087119548
seller_state,0.5464086631013343
shipping_limit_spread,0.42516605031501725
customer_total_orders,0.3685280245374102
tight_schedule_holiday_risk,0.21162686725865568
is_hub_delivery,0.19820170572729953
is_black_friday,0.18080646211225146
is_holiday_season,0.08945115576706504
is_holiday,0.0
is_hub_exit,0.0
